movie_rank,movie_name,movie_link,movie_date,trailer_link,movie_rate
1,永恆族,https://movies.yahoo.com.tw/movieinfo_main/%E6%B0%B8%E6%81%86%E6%97%8F-eternals-11472,2021-11-03,https://movies.yahoo.com.tw/video/%E6%B0%B8%E6%81%86%E6%97%8F-%E6%AD%A3%E5%BC%8F%E9%A0%90%E5%91%8A-134021044.html,3.9
2, 刀劍神域劇場版 –Progressive- 無星夜的詠嘆調 ,https://movies.yahoo.com.tw/movieinfo_main/%E5%88%80%E5%8A%8D%E7%A5%9E%E5%9F%9F-Progressive-%E7%84%A1%E6%98%9F%E5%A4%9C%E7%9A%84%E8%A9%A0%E5%98%86%E8%AA%BF-sword-art-online-progressive-11504,2021-11-12,https://movies.yahoo.com.tw/video/%E5%88%80%E5%8A%8D%E7%A5%9E%E5%9F%9F-progressive-%E7%84%A1%E6%98%9F%E5%A4%9C%E7%9A%84%E8%A9%A0%E5%98%86%E8%AA%BF-%E9%95%B7%E7%89%88%E9%A0%90%E5%91%8A-073713507.html,4
3, 詭扯 ,https://movies.yahoo.com.tw/movieinfo_main/%E8%A9%AD%E6%89%AF-treat-or-trick-11491,2021-11-12,https://movies.yahoo.com.tw/video/%E8%A9%AD%E6%89%AF-%E4%B8%AD%E6%96%87%E9%A0%90%E5%91%8A-121323328.html,4.2
4, 瀑布 ,https://movies.yahoo.com.tw/movieinfo_main/%E7%80%91%E5%B8%83-the-falls-11481,2021-10-29,https://movies.yahoo.com.tw/video/%E7%80%91%E5%B8%83-%E9%80%90%E6%BC%B8%E5%B4%A9%E6%BD%B0%E7%9A%84%E8%B3%88%E9%9D%9C%E9%9B%AF-142112911.html,3.9
5, 迷離夜蘇活 ,https://movies.yahoo.com.tw/movieinfo_main/%E8%BF%B7%E9%9B%A2%E5%A4%9C%E8%98%87%E6%B4%BB-last-night-in-soho-11407,2021-11-12,https://movies.yahoo.com.tw/video/%E8%BF%B7%E9%9B%A2%E5%A4%9C%E8%98%87%E6%B4%BB-%E5%A0%B4%E6%99%AF%E7%9B%B4%E6%93%8A-061910211.html,4.3
6, 梅艷芳 ,https://movies.yahoo.com.tw/movieinfo_main/%E6%A2%85%E8%89%B7%E8%8A%B3-anita-11419,2021-11-12,https://movies.yahoo.com.tw/video/%E6%A2%85%E8%89%B7%E8%8A%B3anita-%E6%AD%A3%E5%BC%8F%E9%A0%90%E5%91%8A-115002122.html,4.3
7, 安雅與魔女 ,https://movies.yahoo.com.tw/movieinfo_main/%E5%AE%89%E9%9B%85%E8%88%87%E9%AD%94%E5%A5%B3-earwig-and-the-witch-11554,2021-11-12,https://movies.yahoo.com.tw/video/%E5%AE%89%E9%9B%85%E8%88%87%E9%AD%94%E5%A5%B3-%E5%AE%AE%E5%B4%8E%E5%90%BE%E6%9C%97%E5%B0%8E%E6%BC%94%E6%89%93%E6%8B%9B%E5%91%BC%E7%AF%87-063120076.html,3.8
8, 猛毒2：血蜘蛛 ,https://movies.yahoo.com.tw/movieinfo_main/%E7%8C%9B%E6%AF%922-%E8%A1%80%E8%9C%98%E8%9B%9B-venom-let-there-be-carnage-11392,2021-10-13,https://movies.yahoo.com.tw/video/%E7%8C%9B%E6%AF%922-%E8%A1%80%E8%9C%98%E8%9B%9B-%E5%85%A8%E6%96%B0%E9%A0%90%E5%91%8A-135226458.html,3.4
9, 我的英雄學院劇場版：世界英雄任務 ,https://movies.yahoo.com.tw/movieinfo_main/%E6%88%91%E7%9A%84%E8%8B%B1%E9%9B%84%E5%AD%B8%E9%99%A2%E5%8A%87%E5%A0%B4%E7%89%88-%E4%B8%96%E7%95%8C%E8%8B%B1%E9%9B%84%E4%BB%BB%E5%8B%99-my-hero-academia-the-movie-world-heores-mission-11518,2021-10-29,無相關影片,4.4
10, 鹿魔 ,https://movies.yahoo.com.tw/movieinfo_main/%E9%B9%BF%E9%AD%94-antlers-11582,2021-11-12,https://movies.yahoo.com.tw/video/%E9%B9%BF%E9%AD%94-%E6%80%AA%E4%BA%8B%E7%AF%87-071246407.html,2.6
11, 007 生死交戰 ,https://movies.yahoo.com.tw/movieinfo_main/007%E7%94%9F%E6%AD%BB%E4%BA%A4%E6%88%B0-no-time-to-die-10406,2021-09-30,https://movies.yahoo.com.tw/video/007%E7%94%9F%E6%AD%BB%E4%BA%A4%E6%88%B0-imax%E7%AF%87-074610608.html,4.2
12,嵐 5x20演唱會電影～回憶全記錄～,無網頁,未定,無相關影片,無相關評分
13, 史賓賽 ,https://movies.yahoo.com.tw/movieinfo_main/%E5%8F%B2%E8%B3%93%E8%B3%BD-spencer-11542,2021-11-05,https://movies.yahoo.com.tw/video/%E5%8F%B2%E8%B3%93%E8%B3%BD-%E4%B8%AD%E6%96%87%E9%A0%90%E5%91%8A-154303484.html,4.2
14, 沙丘 ,https://movies.yahoo.com.tw/movieinfo_main/%E6%B2%99%E4%B8%98-dune-10633,2021-09-16,https://movies.yahoo.com.tw/video/%E6%B2%99%E4%B8%98-%E5%B9%95%E5%BE%8C%E8%8A%B1%E7%B5%AE-080135282.html,4
15, 王者理查 ,https://movies.yahoo.com.tw/movieinfo_main/%E7%8E%8B%E8%80%85%E7%90%86%E6%9F%A5-king-richard-11442,2021-11-18,https://movies.yahoo.com.tw/video/%E7%8E%8B%E8%80%85%E7%90%86%E6%9F%A5-%E7%9B%A7%E5%BD%A5%E5%8B%B3-%E9%99%B3%E5%BF%B5%E7%90%B4-%E9%83%AD%E5%A9%9E%E6%B7%B3%E7%9C%8B-%E7%8E%8B%E8%80%85%E7%90%86%E6%9F%A5-131019890.html,4
16, 達賴喇嘛:大腦故事 ,https://movies.yahoo.com.tw/movieinfo_main/%E9%81%94%E8%B3%B4%E5%96%87%E5%98%9B-%E5%A4%A7%E8%85%A6%E6%95%85%E4%BA%8B-upper-story-11593,2021-11-12,https://movies.yahoo.com.tw/video/%E9%81%94%E8%B3%B4%E5%96%87%E5%98%9B-%E5%A4%A7%E8%85%A6%E6%95%85%E4%BA%8B-%E4%B8%AD%E6%96%87%E9%A0%90%E5%91%8A-154230658.html,2.7
17, 月老 ,https://movies.yahoo.com.tw/movieinfo_main/%E6%9C%88%E8%80%81-till-we-meet-again-11563,2021-11-24,https://movies.yahoo.com.tw/video/%E9%87%91%E9%A6%AC58-%E9%A6%AC%E5%BF%97%E7%A5%A5%E5%B0%88%E8%A8%AA-051429078.html,0
18, 天兵阿榮 ,https://movies.yahoo.com.tw/movieinfo_main/%E5%A4%A9%E5%85%B5%E9%98%BF%E6%A6%AE-rons-gone-wrong-11572,2021-10-29,https://movies.yahoo.com.tw/video/%E5%A4%A9%E5%85%B5%E9%98%BF%E6%A6%AE-%E6%AD%A3%E5%BC%8F%E9%A0%90%E5%91%8A-142458010.html,4
19, 控制《經典重映》 ,https://movies.yahoo.com.tw/movieinfo_main/Control-control-2610,2008-05-02,https://movies.yahoo.com.tw/video/control-160000942.html,4
20, 在他的獎牌中迷惘 ,https://movies.yahoo.com.tw/movieinfo_main/%E5%9C%A8%E4%BB%96%E7%9A%84%E7%8D%8E%E7%89%8C%E4%B8%AD%E8%BF%B7%E6%83%98-whose-medal-11610,2021-11-05,https://movies.yahoo.com.tw/video/%E5%9C%A8%E4%BB%96%E7%9A%84%E7%8D%8E%E7%89%8C%E4%B8%AD%E8%BF%B7%E6%83%98-%E4%B8%AD%E6%96%87%E9%A0%90%E5%91%8A-153523309.html,0
